>Refrigerated
ice cream,250
frozen meat,550
>Refrigerated
ice,325
frozen vegetable mix,325
fish,125
frozen meat,25
>Refrigerated
yoghurt,325
milk,125
fish,350
>Refrigerated
milk,300
cheese,450
beef,50
>Refrigerated
beef,500
chicken,300
>Refrigerated
celery,350
asparagus,275
chicken,125
grapes,50
>Refrigerated
tomatoes,400
lettuce,225
grapes,175
>Refrigerated
biscuits,350
lettuce,125
mushrooms,325
>Ordinary
biscuits,225
nuts,250
bread,200
rice,300
pasta,25
>Ordinary
pasta,225
beans,525
chips,200
chocolate,50
>Ordinary
chocolate,325
