>Refrigerated
frozen meat,550
ice cream,250
>Refrigerated
frozen vegetable mix,325
frozen meat,25
ice,325
fish,125
>Refrigerated
yoghurt,325
fish,350
beef,125
>Refrigerated
milk,375
beef,425
>Refrigerated
milk,50
cheese,450
chicken,300
>Refrigerated
asparagus,275
chicken,125
grapes,50
celery,350
>Refrigerated
tomatoes,400
lettuce,225
grapes,175
>Ordinary
biscuits,350
lettuce,125
mushrooms,325
>Ordinary
biscuits,225
pasta,250
bread,200
chocolate,325
>Ordinary
chocolate,50
chips,200
rice,300
beans,450
