>Refrigerated
ice cream,250
frozen meat,550
>Refrigerated
fish,125
frozen meat,25
ice,325
frozen vegetable mix,325
>Refrigerated
cheese,450
beef,0
fish,350
>Refrigerated
beef,550
milk,250
>Refrigerated
chicken,300
milk,175
yoghurt,325
>Refrigerated
chicken,125
grapes,50
celery,350
asparagus,275
>Refrigerated
grapes,175
tomatoes,400
lettuce,225
>Refrigerated
nuts,250
pasta,100
mushrooms,325
lettuce,125
>Ordinary
pasta,150
chips,200
rice,300
chocolate,350
>Ordinary
chocolate,25
biscuits,575
bread,200
beans,200
>Ordinary
beans,325
