>Refrigerated
ice cream,250
frozen meat,550
>Refrigerated
ice,325
frozen meat,25
fish,125
frozen vegetable mix,325
>Refrigerated
yoghurt,325
fish,350
milk,125
>Refrigerated
cheese,450
beef,50
milk,300
>Refrigerated
chicken,300
beef,500
>Refrigerated
chicken,125
celery,350
asparagus,275
grapes,50
>Refrigerated
tomatoes,400
mushrooms,225
grapes,175
>Refrigerated
rice,300
biscuits,50
mushrooms,100
lettuce,350
>Ordinary
biscuits,525
chocolate,375
beans,100
>Ordinary
beans,425
nuts,250
pasta,250
chips,75
>Ordinary
chips,125
bread,200
