>Refrigerated
frozen meat,550
ice cream,250
>Refrigerated
frozen meat,25
ice,325
fish,125
frozen vegetable mix,325
>Refrigerated
milk,425
beef,25
fish,350
>Refrigerated
beef,525
yoghurt,275
>Refrigerated
chicken,300
yoghurt,50
cheese,450
>Refrigerated
chicken,125
celery,350
grapes,50
asparagus,275
>Refrigerated
lettuce,350
mushrooms,275
grapes,175
>Ordinary
chips,200
chocolate,150
mushrooms,50
tomatoes,400
>Ordinary
chocolate,225
rice,300
beans,475
>Ordinary
beans,50
pasta,250
bread,200
biscuits,500
