>Refrigerated
frozen meat,550
ice cream,250
>Refrigerated
ice,325
frozen vegetable mix,325
frozen meat,25
fish,125
>Refrigerated
fish,350
yoghurt,25
milk,425
>Refrigerated
yoghurt,300
beef,500
>Refrigerated
chicken,300
beef,50
cheese,450
>Refrigerated
chicken,125
celery,350
asparagus,275
grapes,50
>Refrigerated
lettuce,300
grapes,175
mushrooms,325
>Ordinary
lettuce,50
tomatoes,400
biscuits,350
>Ordinary
biscuits,225
nuts,250
bread,200
pasta,250
chocolate,75
>Ordinary
chocolate,300
rice,300
chips,200
beans,200
